# monitor type  1 on boundary    4 matched with boundary    0 using averaging type 2
# Iter      Ptotal         Ttotal         Vaxial         Vtheta        Pstatic          Mdot
     1   1.012707E+05   3.054520E+02  -8.588653E+00   1.368801E+02   9.460606E+04  -3.897855E-02
     2   1.387067E+03   2.717103E+02  -2.006138E+01  -6.316278E+01   6.548561E+04  -1.503157E-02
     2   1.387067E+03   2.717103E+02  -2.006138E+01  -6.316278E+01   6.548561E+04  -1.503157E-02
     2   1.387067E+03   2.717103E+02  -2.006138E+01  -6.316278E+01   6.548561E+04  -1.503157E-02
     2   1.387067E+03   2.717103E+02  -2.006138E+01  -6.316278E+01   6.548561E+04  -1.503157E-02
     3   2.222205E+05   3.452352E+02   1.309892E+01   3.777097E+02   1.289453E+05   2.975642E-02
     3   2.222205E+05   3.452352E+02   1.309892E+01   3.777097E+02   1.289453E+05   2.975642E-02
     3   2.222205E+05   3.452352E+02   1.309892E+01   3.777097E+02   1.289453E+05   2.975642E-02
     3   2.222205E+05   3.452352E+02   1.309892E+01   3.777097E+02   1.289453E+05   2.975642E-02
     4   1.774583E+05   3.300067E+02   8.859566E+00   2.889069E+02   1.159712E+05   7.740714E-02
     4   1.774583E+05   3.300067E+02   8.859566E+00   2.889069E+02   1.159712E+05   7.740714E-02
     4   1.774583E+05   3.300067E+02   8.859566E+00   2.889069E+02   1.159712E+05   7.740714E-02
     4   1.774583E+05   3.300067E+02   8.859566E+00   2.889069E+02   1.159712E+05   7.740714E-02
     5   1.694753E+05   3.272603E+02   9.543278E+00   2.731429E+02   1.136736E+05   1.204998E-01
     5   1.694753E+05   3.272603E+02   9.543278E+00   2.731429E+02   1.136736E+05   1.204998E-01
     5   1.694753E+05   3.272603E+02   9.543278E+00   2.731429E+02   1.136736E+05   1.204998E-01
     5   1.694753E+05   3.272603E+02   9.543278E+00   2.731429E+02   1.136736E+05   1.204998E-01
     6   1.668541E+05   3.263317E+02   1.104508E+01   2.681123E+02   1.129259E+05   1.612656E-01
     6   1.668541E+05   3.263317E+02   1.104508E+01   2.681123E+02   1.129259E+05   1.612656E-01
     6   1.668541E+05   3.263317E+02   1.104508E+01   2.681123E+02   1.129259E+05   1.612656E-01
     6   1.668541E+05   3.263317E+02   1.104508E+01   2.681123E+02   1.129259E+05   1.612656E-01
     7   1.659362E+05   3.260914E+02   1.276531E+01   2.662504E+02   1.126295E+05   1.974624E-01
     7   1.659362E+05   3.260914E+02   1.276531E+01   2.662504E+02   1.126295E+05   1.974624E-01
     7   1.659362E+05   3.260914E+02   1.276531E+01   2.662504E+02   1.126295E+05   1.974624E-01
     7   1.659362E+05   3.260914E+02   1.276531E+01   2.662504E+02   1.126295E+05   1.974624E-01
     8   1.655150E+05   3.260144E+02   1.469426E+01   2.652858E+02   1.124744E+05   2.322596E-01
     8   1.655150E+05   3.260144E+02   1.469426E+01   2.652858E+02   1.124744E+05   2.322596E-01
     8   1.655150E+05   3.260144E+02   1.469426E+01   2.652858E+02   1.124744E+05   2.322596E-01
     8   1.655150E+05   3.260144E+02   1.469426E+01   2.652858E+02   1.124744E+05   2.322596E-01
     9   1.645032E+05   3.256893E+02   1.597667E+01   2.629377E+02   1.122165E+05   2.723624E-01
     9   1.645032E+05   3.256893E+02   1.597667E+01   2.629377E+02   1.122165E+05   2.723624E-01
     9   1.645032E+05   3.256893E+02   1.597667E+01   2.629377E+02   1.122165E+05   2.723624E-01
     9   1.645032E+05   3.256893E+02   1.597667E+01   2.629377E+02   1.122165E+05   2.723624E-01
    10   1.638195E+05   3.253744E+02   1.768464E+01   2.612416E+02   1.120056E+05   3.090183E-01
    10   1.638195E+05   3.253744E+02   1.768464E+01   2.612416E+02   1.120056E+05   3.090183E-01
    10   1.638195E+05   3.253744E+02   1.768464E+01   2.612416E+02   1.120056E+05   3.090183E-01
    10   1.638195E+05   3.253744E+02   1.768464E+01   2.612416E+02   1.120056E+05   3.090183E-01
    11   1.633157E+05   3.251172E+02   1.933292E+01   2.600400E+02   1.118484E+05   3.457483E-01
    11   1.633157E+05   3.251172E+02   1.933292E+01   2.600400E+02   1.118484E+05   3.457483E-01
    11   1.633157E+05   3.251172E+02   1.933292E+01   2.600400E+02   1.118484E+05   3.457483E-01
    11   1.633157E+05   3.251172E+02   1.933292E+01   2.600400E+02   1.118484E+05   3.457483E-01
    12   1.628534E+05   3.248668E+02   2.085741E+01   2.589426E+02   1.117086E+05   3.834538E-01
    12   1.628534E+05   3.248668E+02   2.085741E+01   2.589426E+02   1.117086E+05   3.834538E-01
    12   1.628534E+05   3.248668E+02   2.085741E+01   2.589426E+02   1.117086E+05   3.834538E-01
    12   1.628534E+05   3.248668E+02   2.085741E+01   2.589426E+02   1.117086E+05   3.834538E-01
    13   1.625278E+05   3.246996E+02   2.256907E+01   2.580610E+02   1.115897E+05   4.170983E-01
    13   1.625278E+05   3.246996E+02   2.256907E+01   2.580610E+02   1.115897E+05   4.170983E-01
    13   1.625278E+05   3.246996E+02   2.256907E+01   2.580610E+02   1.115897E+05   4.170983E-01
    13   1.625278E+05   3.246996E+02   2.256907E+01   2.580610E+02   1.115897E+05   4.170983E-01
    14   1.621731E+05   3.245440E+02   2.412298E+01   2.571324E+02   1.114733E+05   4.535922E-01
    14   1.621731E+05   3.245440E+02   2.412298E+01   2.571324E+02   1.114733E+05   4.535922E-01
    14   1.621731E+05   3.245440E+02   2.412298E+01   2.571324E+02   1.114733E+05   4.535922E-01
    14   1.621731E+05   3.245440E+02   2.412298E+01   2.571324E+02   1.114733E+05   4.535922E-01
    15   1.619789E+05   3.244399E+02   2.567906E+01   2.565389E+02   1.114038E+05   4.888012E-01
    15   1.619789E+05   3.244399E+02   2.567906E+01   2.565389E+02   1.114038E+05   4.888012E-01
